#  Alaska Maximum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
198001,6.4,-2.7
198002,20.8,8.3
198003,23.8,4.0
198004,34.5,2.4
198005,48.0,1.7
198006,56.0,-2.1
198007,60.7,-0.5
198008,55.9,-1.3
198009,45.6,-1.9
198010,34.1,2.5
198011,21.5,3.5
198012,-1.4,-11.7
198101,26.5,17.4
198102,16.3,3.8
198103,29.7,9.9
198104,33.8,1.7
198105,52.3,6.0
198106,57.8,-0.3
198107,57.5,-3.7
198108,56.4,-0.8
198109,45.6,-1.9
198110,31.7,0.1
198111,19.6,1.6
198112,10.8,0.5
198201,5.6,-3.5
198202,12.9,0.4
198203,20.8,1.0
198204,27.7,-4.4
198205,43.0,-3.3
198206,57.2,-0.9
198207,60.7,-0.5
198208,57.6,0.4
198209,47.5,0.0
198210,25.2,-6.4
198211,17.1,-0.9
198212,15.2,4.9
198301,5.8,-3.3
198302,14.4,1.9
198303,22.2,2.4
198304,34.7,2.6
198305,47.9,1.6
198306,59.3,1.2
198307,61.9,0.7
198308,54.5,-2.7
198309,43.9,-3.6
198310,27.3,-4.3
198311,22.3,4.3
198312,15.4,5.1
198401,9.8,0.7
198402,0.0,-12.5
198403,25.8,6.0
198404,28.5,-3.6
198405,45.3,-1.0
198406,59.8,1.7
198407,59.6,-1.6
198408,55.3,-1.9
198409,50.6,3.1
198410,32.0,0.4
198411,14.5,-3.5
198412,13.7,3.4
198501,24.6,15.5
198502,7.4,-5.1
198503,21.6,1.8
198504,22.4,-9.7
198505,44.2,-2.1
198506,55.0,-3.1
198507,62.4,1.2
198508,56.6,-0.6
198509,45.9,-1.6
198510,26.4,-5.2
198511,15.8,-2.2
198512,23.5,13.2
198601,11.9,2.8
198602,18.5,6.0
198603,17.8,-2.0
198604,26.5,-5.6
198605,45.6,-0.7
198606,59.2,1.1
198607,61.8,0.6
198608,54.8,-2.4
198609,48.7,1.2
198610,32.3,0.7
198611,17.1,-0.9
198612,21.4,11.1
198701,15.5,6.4
198702,15.8,3.3
198703,23.0,3.2
198704,31.9,-0.2
198705,46.8,0.5
198706,57.4,-0.7
198707,61.9,0.7
198708,59.8,2.6
198709,45.2,-2.3
198710,35.9,4.3
198711,17.4,-0.6
198712,11.0,0.7
198801,14.0,4.9
198802,16.6,4.1
198803,22.2,2.4
198804,33.0,0.9
198805,48.1,1.8
198806,58.7,0.6
198807,63.3,2.1
198808,56.9,-0.3
198809,47.3,-0.2
198810,26.8,-4.8
198811,11.2,-6.8
198812,16.5,6.2
198901,-5.0,-14.1
198902,23.1,10.6
198903,21.0,1.2
198904,36.9,4.8
198905,44.9,-1.4
198906,58.3,0.2
198907,62.8,1.6
198908,60.0,2.8
198909,50.0,2.5
198910,31.7,0.1
198911,10.1,-7.9
198912,17.6,7.3
199001,5.2,-3.9
199002,-2.2,-14.7
199003,25.1,5.3
199004,38.9,6.8
199005,51.3,5.0
199006,59.7,1.6
199007,64.5,3.3
199008,60.2,3.0
199009,46.3,-1.2
199010,29.7,-1.9
199011,11.5,-6.5
199012,9.8,-0.5
199101,11.2,2.1
199102,12.1,-0.4
199103,21.1,1.3
199104,35.6,3.5
199105,49.2,2.9
199106,60.6,2.5
199107,60.6,-0.6
199108,56.7,-0.5
199109,50.1,2.6
199110,32.8,1.2
199111,15.9,-2.1
199112,9.9,-0.4
199201,12.2,3.1
199202,7.5,-5.0
199203,21.3,1.5
199204,31.4,-0.7
199205,42.4,-3.9
199206,59.8,1.7
199207,63.3,2.1
199208,56.5,-0.7
199209,38.3,-9.2
199210,27.4,-4.2
199211,20.1,2.1
199212,10.4,0.1
199301,10.3,1.2
199302,18.1,5.6
199303,25.4,5.6
199304,39.1,7.0
199305,51.4,5.1
199306,60.8,2.7
199307,65.9,4.7
199308,57.1,-0.1
199309,46.0,-1.5
199310,35.3,3.7
199311,22.2,4.2
199312,17.7,7.4
199401,13.1,4.0
199402,11.5,-1.0
199403,17.0,-2.8
199404,33.9,1.8
199405,48.9,2.6
199406,58.2,0.1
199407,62.9,1.7
199408,59.4,2.2
199409,46.8,-0.7
199410,28.6,-3.0
199411,13.9,-4.1
199412,9.8,-0.5
199501,11.5,2.4
199502,16.1,3.6
199503,16.0,-3.8
199504,38.1,6.0
199505,51.4,5.1
199506,58.3,0.2
199507,61.7,0.5
199508,57.1,-0.1
199509,52.6,5.1
199510,32.8,1.2
199511,15.1,-2.9
199512,10.9,0.6
199601,4.0,-5.1
199602,12.5,0.0
199603,27.2,7.4
199604,33.2,1.1
199605,50.2,3.9
199606,58.6,0.5
199607,61.8,0.6
199608,54.9,-2.3
199609,44.6,-2.9
199610,24.9,-6.7
199611,17.7,-0.3
199612,7.5,-2.8
199701,6.7,-2.4
199702,21.7,9.2
199703,17.4,-2.4
199704,37.1,5.0
199705,50.4,4.1
199706,61.9,3.8
199707,64.0,2.8
199708,59.2,2.0
199709,51.7,4.2
199710,27.2,-4.4
199711,24.1,6.1
199712,10.6,0.3
199801,7.0,-2.1
199802,17.7,5.2
199803,28.8,9.0
199804,38.2,6.1
199805,47.0,0.7
199806,58.1,0.0
199807,62.9,1.7
199808,54.1,-3.1
199809,48.2,0.7
199810,33.9,2.3
199811,20.7,2.7
199812,10.5,0.2
199901,4.4,-4.7
199902,4.3,-8.2
199903,18.4,-1.4
199904,32.1,0.0
199905,45.9,-0.4
199906,60.0,1.9
199907,61.3,0.1
199908,58.9,1.7
199909,49.1,1.6
199910,28.5,-3.1
199911,14.2,-3.8
199912,4.5,-5.8
200001,7.5,-1.6
200002,23.0,10.5
200003,24.8,5.0
200004,33.6,1.5
200005,43.6,-2.7
200006,60.8,2.7
200007,59.4,-1.8
200008,54.3,-2.9
