#  Alaska Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
198001,-1.7,-3.9
198002,12.7,7.9
198003,15.8,5.0
198004,26.2,2.9
198005,39.6,1.8
198006,48.3,-0.9
198007,52.8,0.1
198008,48.0,-1.5
198009,38.8,-1.8
198010,28.4,2.9
198011,16.0,4.3
198012,-7.5,-11.2
198101,20.1,17.9
198102,9.0,4.2
198103,21.9,11.1
198104,24.4,1.1
198105,43.0,5.2
198106,48.8,-0.4
198107,50.9,-1.8
198108,48.7,-0.8
198109,38.8,-1.8
198110,26.7,1.2
198111,13.6,1.9
198112,4.5,0.8
198201,-1.4,-3.6
198202,5.1,0.3
198203,12.8,2.0
198204,19.3,-4.0
198205,35.2,-2.6
198206,48.9,-0.3
198207,52.6,-0.1
198208,49.6,0.1
198209,41.5,0.9
198210,19.2,-6.3
198211,11.2,-0.5
198212,9.5,5.8
198301,-1.0,-3.2
198302,7.6,2.8
198303,13.2,2.4
198304,26.7,3.4
198305,39.2,1.4
198306,50.2,1.0
198307,53.6,0.9
198308,47.7,-1.8
198309,36.8,-3.8
198310,22.0,-3.5
198311,16.3,4.6
198312,10.0,6.3
198401,3.1,0.9
198402,-7.0,-11.8
198403,17.9,7.1
198404,19.3,-4.0
198405,36.2,-1.6
198406,50.4,1.2
198407,52.0,-0.7
198408,48.0,-1.5
198409,42.1,1.5
198410,25.6,0.1
198411,8.6,-3.1
198412,6.8,3.1
198501,18.8,16.6
198502,-0.2,-5.0
198503,12.8,2.0
198504,12.6,-10.7
198505,35.9,-1.9
198506,46.8,-2.4
198507,53.4,0.7
198508,49.0,-0.5
198509,39.7,-0.9
198510,20.7,-4.8
198511,8.7,-3.0
198512,17.3,13.6
198601,5.8,3.6
198602,10.7,5.9
198603,8.1,-2.7
198604,16.9,-6.4
198605,36.9,-0.9
198606,50.0,0.8
198607,53.2,0.5
198608,47.6,-1.9
198609,41.6,1.0
198610,25.9,0.4
198611,10.9,-0.8
198612,15.5,11.8
198701,8.6,6.4
198702,8.3,3.5
198703,13.3,2.5
198704,22.7,-0.6
198705,38.4,0.6
198706,49.0,-0.2
198707,53.7,1.0
198708,51.1,1.6
198709,38.7,-1.9
198710,30.2,4.7
198711,12.2,0.5
198712,4.2,0.5
198801,7.6,5.4
198802,8.9,4.1
198803,13.8,3.0
198804,24.8,1.5
198805,40.3,2.5
198806,50.2,1.0
198807,54.5,1.8
198808,49.8,0.3
198809,39.9,-0.7
198810,20.6,-4.9
198811,5.3,-6.4
198812,9.8,6.1
198901,-11.9,-14.1
198902,14.8,10.0
198903,10.8,0.0
198904,28.4,5.1
198905,37.4,-0.4
198906,49.7,0.5
198907,54.5,1.8
